[2026-04-03T16:53:44+00:00] [INFO] Correo de prueba enviado | {"recipient":"jcares@pccurico.cl"}
[2026-04-03T23:18:47+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-03T23:18:47+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-03T23:18:49+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-03T23:18:49+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-03T23:18:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-03T23:18:52+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T01:17:36+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T01:17:36+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T01:17:37+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T01:17:37+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T01:17:39+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T01:17:40+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T01:49:22+00:00] [INFO] Correo de prueba enviado | {"recipient":"jose.cares.a@gmail.com"}
[2026-04-04T01:53:54+00:00] [INFO] Correo de prueba enviado | {"recipient":"jose.cares.a@gmail.com"}
[2026-04-04T01:58:31+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T01:58:31+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T01:58:32+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T01:58:33+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T01:58:34+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T01:58:35+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T02:32:41+00:00] [INFO] Correo de prueba enviado | {"recipient":"jose.cares.a@gmail.com"}
[2026-04-04T02:59:00+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T02:59:00+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T02:59:01+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T02:59:02+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T02:59:03+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T02:59:04+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T03:58:51+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T03:58:51+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T03:58:52+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T03:58:52+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T03:58:54+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T03:58:55+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T04:58:47+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T04:58:47+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T04:58:48+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T04:58:48+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T04:58:50+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T04:58:51+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T05:58:47+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T05:58:47+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T05:58:49+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T05:58:49+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T05:58:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T05:58:51+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T06:58:48+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T06:58:48+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T06:58:49+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T06:58:50+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T06:58:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T06:58:52+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T07:58:48+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T07:58:48+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
[2026-04-04T07:58:49+00:00] [INFO] Imagen detectada mediante patrón real en summary | {"course":"Manejo de Conflictos","url":"https:\/\/cipresalto.cl\/aulavirtual\/webservice\/pluginfile.php\/11\/course\/summary\/curso-2.png?token=d4c5be6e5cefe4bbb025ae28ba5630df"}
[2026-04-04T07:58:50+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Conflictos Laborales"}
[2026-04-04T07:58:51+00:00] [INFO] Buscando imagen en la página del curso (fallback) | {"course":"Manejo de Plaguicidas"}
[2026-04-04T07:58:52+00:00] [INFO] Sincronización Moodle -> WooCommerce completada | {"status":"success","message":"Synchronization completed.","categories_created":0,"categories_updated":2,"products_created":0,"products_updated":3}
[2026-04-04T08:58:50+00:00] [INFO] Categoría actualizada | {"moodle_id":2,"name":"E-Learnig"}
[2026-04-04T08:58:50+00:00] [INFO] Categoría actualizada | {"moodle_id":1,"name":"LABORAL"}
